 Map ID #, Date Sampled in 2023, NAD27 X cord EAST 17T, NAD27 Y cord NORTH, Depth (ft) 2023, Secchi Depth  (m) 2021,  All species abundance, Native Sp. Abundance, Non-Native sp. Abundance, Ceratophyllum Abundance, Elodea sp. Abundance, Heteranthera dubia Abundance, Lemna trisulca Abundance, Myriophyllum spicatum Abundance, Najas flexilis Abundance, Najas guadalupensis Abundance, Najas minor Abundance, Potamogeton crispus Abundance, Potamogeton praelongus Abundance, Potamogeton pusillus Abundance, Potamogeton zosteriformis Abundance, Vallisneria americana Abundance, N. obtusa Abundance
174,19-Aug,632500,4669900,1.9,2,T,T,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
175,19-Aug,632300,4670000,2.8,1.6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
176,19-Aug,632100,4670200,2,2.25,T,Z,T,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z
177,19-Aug,631700,4670100,2,2,T,T,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
178,19-Aug,631500,4670000,1,1.45,T,T,Z,Z,Z,T,T,Z,T,Z,Z,Z,T,Z,Z,T,Z
179,19-Aug,631300,4669900,0.9,1.1,T,T,T,Z,Z,T,Z,Z,T,T,Z,T,Z,Z,Z,T,Z
180,19-Aug,631000,4669800,3,1.8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
181,19-Aug,630600,4669800,1.5,1.25,T,T,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,T,Z,T,Z
182,19-Aug,630568,4669814,6,0.75,T,T,Z,Z,Z,Z,T,Z,Z,T,Z,Z,Z,Z,Z,Z,Z
183,19-Aug,630400,4669600,8,1.9,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
184,19-Aug,630600,4670400,2.6,2.2,T,Z,T,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z
185,19-Aug,630600,4670500,2.2,2.05,T,Z,T,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z
186,19-Aug,630500,4670500,2.6,2.05,T,T,T,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,T,Z,Z,Z
187,19-Aug,630400,4670500,4,2.5,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
188,19-Aug,630300,4670700,4.8,1.75,T,T,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z
189,19-Aug,630500,4670800,3.1,3,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
190,19-Aug,630600,4670900,4,2.75,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
191,19-Aug,630700,4670900,2.2,1,S,S,S,Z,Z,S,Z,S,S,Z,Z,T,Z,T,Z,Z,Z
192,19-Aug,630800,4671200,0.8,2.3,T,T,T,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,T,Z,T,Z
193,19-Aug,630700,4671200,2,3,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
194,19-Aug,630700,4671300,3.8,3,T,T,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
195,19-Aug,630800,4671300,4.1,3,M,M,Z,T,T,S,Z,Z,Z,T,Z,Z,M,S,T,T,Z
196,5-Aug,630800,4671400,2,2.3,S,S,T,T,T,T,T,T,S,Z,Z,Z,S,T,Z,Z,Z
197,5-Aug,630700,4671400,4.2,2.75,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
198,5-Aug,630700,4671500,3.1,2.75,S,S,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,S,S,Z,Z,Z
199,5-Aug,630800,4671500,1.2,2,S,S,T,Z,T,S,Z,T,Z,T,Z,T,S,T,Z,S,Z
200,5-Aug,630700,4671600,2,2.3,T,T,Z,Z,Z,T,Z,Z,T,Z,Z,Z,T,T,Z,Z,Z
201,5-Aug,630700,4671700,2,2,S,S,T,T,T,T,Z,T,Z,Z,Z,Z,S,Z,Z,T,Z
202,5-Aug,630600,4671700,4.1,3,T,T,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z
203,5-Aug,630600,4671800,2,2.25,S,S,S,Z,Z,T,Z,S,Z,S,Z,T,S,Z,Z,Z,Z
204,5-Aug,630500,4671900,4.2,2.8,T,T,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z
205,5-Aug,630500,4672000,3,2.25,T,T,T,T,T,Z,Z,T,Z,Z,Z,Z,T,T,Z,Z,Z
206,5-Aug,630400,4672000,6.1,2.9,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
207,5-Aug,630400,4672100,4,2.75,T,T,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z
208,5-Aug,630500,4672100,2,2.3,M,M,Z,S,S,Z,Z,Z,Z,Z,Z,Z,S,T,S,S,Z
209,4-Aug,630400,4672200,2.2,2.25,S,S,Z,S,T,Z,T,Z,Z,T,Z,T,S,T,S,Z,Z
210,4-Aug,630300,4672200,3.5,2.2,M,M,Z,S,S,Z,Z,Z,Z,T,Z,T,M,Z,T,Z,Z
211,4-Aug,630200,4672300,1.9,1.9,M,M,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,M,T,Z,S,Z
212,4-Aug,630100,4672300,4,2.5,T,T,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z
213,4-Aug,630100,4672400,1,1,T,T,T,Z,Z,T,Z,T,T,T,Z,Z,Z,Z,Z,T,Z
214,4-Aug,630000,4672400,3,2.5,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
215,4-Aug,630000,4672500,1.9,1.9,S,S,Z,Z,T,Z,Z,Z,S,S,Z,Z,T,Z,Z,S,Z
216,4-Aug,629900,4672600,3.5,2.5,T,T,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,T,Z,Z
217,4-Aug,629800,4672700,6,2.5,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
218,4-Aug,629800,4673200,1.5,1.5,S,S,S,Z,Z,S,Z,S,S,Z,Z,T,T,S,Z,S,Z
219,4-Aug,629700,4673200,3,1.6,S,S,T,Z,Z,T,Z,Z,T,Z,Z,T,S,T,Z,Z,Z
220,4-Aug,629400,4673700,1,1,S,S,Z,Z,Z,T,Z,T,S,Z,Z,Z,Z,S,Z,T,Z
221,4-Aug,629300,4673800,2.4,2,T,T,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z
222,4-Aug,629300,4673900,2,2,S,S,T,Z,Z,S,Z,T,T,Z,Z,Z,S,T,Z,T,Z
223,4-Aug,629200,4674100,3.3,1.8,M,M,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,M,T,Z,Z,Z
224,4-Aug,628900,4675200,1.8,1.8,S,S,Z,Z,Z,S,T,T,T,Z,Z,Z,T,T,Z,T,Z
225,4-Aug,628800,4675500,0.5,0.5,S,S,Z,Z,T,T,Z,Z,S,T,Z,Z,Z,S,Z,T,Z
226,4-Aug,628700,4675500,2.8,2.3,T,T,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,T,T,Z,Z,Z
227,4-Aug,628600,4675900,4.5,2.5,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
228,5-Aug,628600,4676000,4,2.2,T,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z
229,5-Aug,628600,4676500,1.9,1.9,M,M,S,S,S,Z,S,S,Z,Z,Z,Z,T,Z,S,T,Z
230,5-Aug,628500,4676500,2,2,S,S,T,S,T,Z,Z,T,Z,Z,Z,Z,S,T,S,Z,Z
231,5-Aug,628400,4676500,1.7,1.75,S,S,S,Z,T,S,Z,S,T,Z,Z,Z,S,T,S,S,Z
232,5-Aug,628100,4676500,2,2,S,S,T,T,T,T,Z,T,Z,Z,Z,T,Z,S,S,T,Z
233,5-Aug,628100,4676600,1.9,1.9,S,S,S,Z,Z,Z,Z,S,T,Z,Z,Z,S,S,Z,S,Z
234,5-Aug,627400,4676700,1.3,1.25,T,T,T,Z,T,Z,Z,T,Z,Z,Z,Z,Z,Z,T,T,Z
235,5-Aug,627400,4676500,4,4,T,T,T,T,Z,Z,T,T,Z,Z,Z,Z,Z,T,Z,Z,Z
236,5-Aug,627300,4676500,2.4,2.4,S,S,S,Z,Z,Z,Z,S,Z,Z,Z,Z,Z,T,Z,S,Z
237,5-Aug,627100,4676500,4,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
238,5-Aug,626800,4676800,3,3,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
239,5-Aug,626700,4677100,3,3,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
240,5-Aug,626600,4677500,3,3,T,T,T,Z,Z,Z,T,T,Z,Z,Z,Z,Z,T,Z,Z,Z
241,5-Aug,626400,4678200,3,3,S,S,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,S,T,T,Z,Z
242,5-Aug,626100,4678700,2.5,2.4,S,S,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,S,T,T,Z,Z
243,5-Aug,626100,4678800,2.4,2.4,M,M,Z,S,T,Z,Z,Z,Z,Z,Z,Z,M,S,T,Z,Z
244,5-Aug,626000,4678800,3.7,3.6,S,S,T,T,Z,Z,T,T,Z,Z,Z,Z,S,S,T,Z,Z
245,5-Aug,626000,4678900,3.1,3.1,S,S,S,T,T,Z,T,S,Z,Z,Z,Z,T,T,T,Z,Z
246,5-Aug,626100,4678900,2.2,2.15,M,M,S,T,T,Z,T,S,Z,T,Z,Z,M,T,T,Z,Z
247,5-Aug,626100,4679000,2,2,S,S,S,Z,T,T,T,S,Z,T,Z,Z,S,T,S,S,Z
248,5-Aug,626000,4679200,2.1,2.1,M,M,S,S,S,Z,T,S,Z,Z,Z,Z,M,S,S,S,Z
249,5-Aug,625700,4679200,2.9,2.9,T,T,T,T,Z,Z,Z,T,Z,Z,Z,Z,Z,T,Z,Z,Z
250,5-Aug,625400,4679200,3,3,M,S,S,S,T,Z,Z,S,Z,Z,Z,Z,Z,Z,Z,Z,Z
251,5-Aug,624500,4678500,1.8,1.8,S,S,S,Z,Z,S,Z,S,T,Z,Z,Z,S,Z,Z,T,Z
252,5-Aug,624700,4678500,1.6,1.6,M,Z,M,Z,Z,T,T,M,Z,Z,Z,Z,Z,Z,Z,Z,Z
253,5-Aug,624900,4678500,5.3,5,T,Z,T,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z
254,5-Aug,624900,4678300,2.9,2.9,M,S,M,T,S,S,T,M,Z,Z,Z,Z,S,Z,Z,Z,Z
255,5-Aug,624700,4678300,2,2,M,S,M,T,Z,S,Z,M,Z,Z,Z,Z,Z,T,Z,Z,Z
256,5-Aug,624500,4678300,1.9,1.9,S,S,S,S,Z,S,T,S,T,T,Z,Z,T,T,Z,S,Z
257,5-Aug,624400,4678100,2.3,2.3,S,S,S,T,T,T,T,S,Z,T,Z,Z,T,Z,Z,Z,Z
258,5-Aug,624600,4678100,2,2,M,M,M,T,T,M,Z,M,Z,S,Z,Z,Z,Z,Z,Z,Z
259,5-Aug,624800,4678100,1.8,1.8,M,Z,M,Z,T,T,T,M,Z,Z,Z,Z,Z,T,Z,T,Z
260,5-Aug,624700,4678000,2,2,M,S,M,Z,Z,S,Z,M,Z,T,Z,Z,T,T,Z,Z,Z
261,5-Aug,624500,4678000,2.8,2.75,M,M,S,S,S,S,T,S,T,S,Z,Z,S,Z,Z,Z,Z
262,5-Aug,624300,4678000,2,2,M,M,T,S,S,S,Z,T,Z,T,Z,Z,Z,Z,S,S,Z
263,5-Aug,624400,4677900,3,3,M,M,S,S,M,Z,Z,S,Z,T,Z,Z,Z,Z,S,Z,Z
264,5-Aug,624300,4677900,2.3,2.3,S,S,S,S,S,S,Z,S,Z,S,Z,Z,S,T,Z,Z,Z
265,5-Aug,624600,4677800,3,2.5,S,S,S,T,T,T,T,S,Z,T,Z,Z,T,Z,Z,Z,Z
266,4-Aug,624400,4677800,2.9,2.9,M,M,S,S,S,Z,Z,S,Z,Z,Z,Z,Z,Z,T,Z,Z
267,4-Aug,624200,4677800,1.5,1.5,S,S,S,T,T,S,Z,S,S,T,Z,Z,T,Z,Z,S,Z
268,4-Aug,624500,4677700,3.8,3.25,M,M,S,S,M,Z,T,S,Z,Z,Z,Z,Z,Z,T,Z,Z
269,4-Aug,624600,4677600,2.7,2.75,S,T,S,Z,T,Z,Z,S,T,Z,Z,Z,Z,T,Z,T,Z
270,4-Aug,624400,4677600,3,2.9,M,M,M,S,S,T,Z,M,Z,T,Z,T,Z,S,T,T,Z
271,4-Aug,624200,4677600,1,1.5,M,M,S,S,S,S,T,S,S,S,Z,Z,Z,S,Z,S,Z
272,4-Aug,624300,4677500,1,1,M,M,S,S,S,S,Z,S,T,Z,Z,Z,Z,S,S,S,Z
273,4-Aug,624300,4677400,0.6,1,S,S,T,Z,Z,T,Z,T,T,Z,Z,Z,S,Z,Z,S,Z
274,4-Aug,624400,4677400,2,2,S,S,S,T,S,T,Z,S,Z,Z,Z,Z,S,T,T,T,Z
275,4-Aug,624400,4677300,1.4,1.4,S,S,Z,Z,Z,T,Z,T,Z,S,Z,Z,T,Z,Z,S,Z
276,4-Aug,624500,4677300,3,2.9,M,M,T,Z,T,Z,Z,T,Z,Z,Z,Z,M,T,T,Z,Z
277,4-Aug,624500,4677200,2.8,2.7,S,S,S,T,S,S,T,S,Z,T,Z,Z,S,T,T,Z,Z
278,4-Aug,624400,4677100,1.7,1.8,M,M,T,S,M,T,T,T,T,S,Z,Z,S,Z,S,S,Z
279,4-Aug,624500,4676900,1.1,1.1,T,T,T,T,T,T,T,T,T,T,Z,Z,T,Z,Z,T,Z
280,4-Aug,624700,4676800,3,3,S,S,S,S,S,T,Z,S,Z,Z,Z,T,T,T,S,Z,Z
281,4-Aug,624900,4676500,2.9,2.8,S,S,S,T,Z,Z,T,S,Z,Z,Z,T,Z,Z,S,Z,Z
282,4-Aug,625000,4676500,4,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
283,4-Aug,625000,4676400,3.1,3.1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
284,4-Aug,625000,4676200,1.8,1.8,S,S,S,T,S,S,T,S,Z,Z,Z,Z,T,S,Z,S,Z
285,4-Aug,625200,4676100,3,2.9,M,M,Z,T,Z,Z,Z,T,T,Z,Z,Z,S,M,Z,Z,Z
286,4-Aug,625200,4675900,2.2,2.2,T,T,T,T,T,Z,Z,T,T,Z,Z,Z,T,T,T,T,Z
287,4-Aug,625100,4675500,0.5,0.5,S,S,Z,T,Z,T,Z,T,S,Z,Z,Z,Z,Z,Z,T,Z
288,4-Aug,625200,4675500,2.3,2.3,M,M,S,S,M,S,Z,S,Z,T,Z,Z,S,Z,S,Z,Z
289,4-Aug,625300,4675500,3.1,3.1,M,Z,M,T,Z,Z,Z,M,Z,Z,Z,Z,Z,Z,T,Z,Z
290,4-Aug,625300,4675400,3,3,S,T,S,T,Z,Z,T,S,Z,Z,Z,T,T,Z,T,Z,Z
291,4-Aug,625200,4675300,1.7,1.7,M,M,S,S,S,S,T,S,Z,S,Z,Z,Z,Z,T,T,Z
292,4-Aug,625300,4675200,1.1,1.1,M,M,S,S,M,Z,T,S,Z,T,Z,Z,Z,Z,S,Z,Z
293,4-Aug,625500,4675100,1.8,1.75,S,S,T,T,T,S,T,T,T,T,Z,Z,S,Z,Z,T,Z
294,4-Aug,625700,4674900,2.5,2.5,M,M,S,S,Z,S,T,S,Z,T,Z,Z,M,T,S,Z,Z
295,4-Aug,625700,4674800,1.3,1.2,S,S,T,S,T,T,Z,T,Z,S,Z,Z,S,T,Z,S,Z
296,4-Aug,626100,4674700,0.8,0.6,T,T,T,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,T,Z,Z,Z
297,4-Aug,626300,4674500,1.8,1.25,S,S,S,T,T,S,Z,S,T,T,Z,Z,T,T,Z,S,Z
298,4-Aug,626400,4674500,3,2.9,T,T,T,Z,Z,T,T,T,Z,T,Z,T,Z,Z,Z,Z,Z
299,4-Aug,626600,4674300,1.8,1.7,S,S,S,S,T,S,T,S,T,Z,Z,Z,Z,T,Z,T,Z
300,4-Aug,626800,4674200,0.4,0.95,S,S,T,Z,Z,T,Z,T,S,T,Z,Z,Z,Z,Z,S,Z
301,4-Aug,627000,4673800,0.5,0.8,S,S,T,Z,Z,Z,Z,T,T,T,Z,Z,Z,Z,Z,T,Z
302,4-Aug,627100,4673500,1,1,S,S,T,Z,T,T,Z,T,S,S,Z,T,T,T,Z,S,Z
303,4-Aug,627200,4673400,1.7,1.8,S,S,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,S,Z,Z,Z,Z
304,4-Aug,627200,4673300,2,2.25,M,M,S,Z,S,T,Z,S,Z,Z,Z,Z,M,S,Z,T,Z
305,4-Aug,627300,4673200,5,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
306,4-Aug,627200,4673100,0.5,0.5,S,S,T,Z,T,Z,Z,T,T,Z,Z,T,Z,T,Z,T,Z
307,4-Aug,627300,4673000,1,1.25,S,S,Z,Z,Z,T,Z,T,T,Z,Z,Z,T,Z,Z,T,Z
308,4-Aug,627300,4672900,0.5,0.5,S,S,S,Z,Z,Z,Z,Z,T,Z,Z,Z,T,T,Z,Z,S
309,4-Aug,627400,4672800,0.5,0.75,S,S,Z,Z,T,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,T,Z
310,4-Aug,627500,4672800,6,5,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
311,4-Aug,627500,4672700,1,1.1,S,S,Z,Z,Z,Z,T,T,T,Z,Z,Z,S,T,Z,Z,Z
312,4-Aug,627500,4672600,0.8,0.75,S,S,Z,Z,Z,Z,T,T,S,Z,Z,Z,Z,Z,Z,T,Z
313,6-Aug,627800,4672300,0.5,0.9,T,T,Z,Z,Z,T,Z,Z,T,Z,Z,Z,Z,Z,Z,T,Z
314,6-Aug,628300,4672200,1.5,1.5,S,S,S,Z,Z,T,Z,S,Z,Z,Z,Z,T,Z,Z,T,Z
315,6-Aug,628700,4671500,1,0.75,M,M,Z,Z,T,T,T,Z,Z,Z,Z,Z,Z,M,Z,T,Z
316,6-Aug,628800,4671500,1.3,1.5,S,S,Z,S,S,T,T,Z,T,Z,Z,Z,Z,Z,Z,T,Z
317,6-Aug,628800,4671200,3,2.5,S,S,Z,S,S,Z,T,T,Z,Z,Z,Z,S,S,Z,Z,Z
318,6-Aug,628400,4671000,1.4,1.4,M,M,Z,S,S,Z,T,Z,M,Z,Z,Z,T,Z,Z,M,Z
319,6-Aug,628400,4670950,1.4,1.5,M,M,Z,S,M,Z,T,Z,Z,S,Z,Z,S,Z,S,T,Z
320,6-Aug,628400,4670900,1.4,1.5,M,M,Z,S,M,Z,T,Z,Z,T,Z,Z,S,Z,S,Z,Z
321,6-Aug,628600,4670900,5.8,1.6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
322,6-Aug,628700,4670900,6.8,1.75,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
323,6-Aug,628600,4670800,5.5,1.5,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
324,6-Aug,628600,4670500,1.4,1.75,M,M,S,S,M,Z,S,S,Z,Z,Z,Z,S,Z,S,Z,Z
325,6-Aug,628800,4670300,1,1.05,S,S,S,Z,T,Z,Z,S,Z,S,Z,Z,T,Z,Z,S,Z
326,6-Aug,629100,4670100,1.8,2,S,S,S,S,S,T,Z,S,T,Z,Z,Z,Z,Z,Z,S,Z
327,6-Aug,629500,4669900,1,1.25,S,S,T,Z,Z,T,Z,T,S,Z,Z,Z,T,T,Z,S,Z
328,6-Aug,629700,4669700,2.5,2.1,S,S,S,Z,Z,S,Z,S,T,Z,Z,Z,S,S,Z,T,Z
329,6-Aug,629800,4669500,2.7,1.5,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
330,6-Aug,630000,4669200,2.9,1.7,T,T,T,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,T,Z,Z,Z
331,6-Aug,630300,4669000,1.1,1.25,S,S,S,Z,Z,S,Z,S,T,Z,Z,Z,S,Z,Z,T,Z
332,6-Aug,630500,4668900,1.8,1.75,S,S,S,Z,Z,S,Z,S,S,Z,Z,Z,Z,T,Z,T,Z
333,5-Aug,630800,4668800,3.3,1.5,T,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z
334,5-Aug,631100,4668700,1.2,2,S,S,S,T,T,Z,Z,S,Z,T,Z,Z,T,T,S,S,Z
335,5-Aug,631700,4669000,0.4,0.9,S,S,T,T,S,S,T,T,Z,T,Z,Z,Z,Z,Z,T,Z
336,5-Aug,631800,4668800,0.5,0.9,M,M,T,T,T,S,T,T,Z,Z,Z,Z,Z,Z,Z,M,Z
337,5-Aug,632000,4668500,0.6,0.8,M,M,S,S,M,T,T,S,Z,T,Z,Z,Z,Z,Z,S,Z
338,5-Aug,632100,4668400,0.8,1.25,S,S,T,T,S,Z,T,T,T,T,Z,Z,Z,T,Z,S,Z
339,17-Aug,632300,4667500,2.9,0.9,S,S,T,Z,Z,S,Z,T,Z,Z,Z,Z,Z,Z,Z,T,Z
340,17-Aug,632200,4667400,2.7,0.8,S,S,S,S,S,T,Z,S,Z,Z,Z,Z,Z,Z,Z,Z,Z
341,17-Aug,632300,4666900,2.9,0.75,S,S,T,T,T,S,Z,T,T,Z,Z,Z,Z,Z,Z,S,Z
342,17-Aug,632600,4666200,2.9,0.9,S,S,Z,Z,Z,S,Z,Z,Z,Z,Z,Z,T,Z,Z,T,Z
343,17-Aug,633200,4665500,2.4,0.9,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
344,17-Aug,633100,4664800,2.7,0.9,S,T,S,T,Z,Z,Z,S,Z,T,Z,T,Z,Z,Z,Z,Z
345,17-Aug,633200,4664500,2.8,0.9,M,S,M,S,Z,Z,Z,M,Z,Z,Z,Z,Z,Z,Z,Z,Z
346,17-Aug,633400,4664100,2.6,1,M,S,M,S,T,Z,Z,M,Z,Z,Z,T,Z,Z,Z,Z,Z
347,17-Aug,633900,4663500,2.4,1,T,T,T,Z,Z,Z,Z,T,T,Z,Z,T,Z,Z,Z,Z,Z
348,17-Aug,634300,4663100,3.1,1,S,S,S,S,Z,Z,T,S,Z,T,Z,T,Z,Z,Z,Z,Z
349,17-Aug,634800,4663300,2.2,1,S,S,T,Z,T,S,Z,T,Z,Z,Z,Z,Z,Z,Z,T,Z
350,17-Aug,635700,4662800,4.1,0.8,S,S,T,T,T,S,Z,T,Z,Z,Z,Z,Z,Z,Z,T,Z
351,17-Aug,635800,4662600,3.5,1.5,T,T,T,Z,T,T,Z,T,Z,T,Z,T,Z,Z,Z,Z,Z
352,17-Aug,636000,4662300,2.2,1.8,T,T,T,T,T,Z,T,T,Z,T,Z,T,Z,Z,Z,Z,Z
353,17-Aug,636800,4662200,1.9,2.5,T,T,Z,T,T,Z,Z,Z,Z,T,Z,T,Z,Z,Z,Z,Z
354,17-Aug,637300,4662500,2.7,2.65,T,T,T,T,T,Z,Z,Z,Z,T,Z,T,Z,Z,Z,Z,T
355,17-Aug,637600,4662600,3.6,1.5,T,T,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z
356,17-Aug,637500,4662600,2.6,1.75,T,T,T,T,Z,Z,Z,Z,Z,T,Z,T,Z,Z,T,Z,Z
357,17-Aug,637400,4662600,2.3,2.8,T,T,T,T,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z
358,17-Aug,637200,4662600,1.2,3,S,S,T,S,T,Z,T,T,Z,T,Z,T,Z,Z,Z,T,Z
359,17-Aug,637200,4662900,2.4,3.1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
360,17-Aug,637800,4662800,1.9,2.75,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
361,17-Aug,637800,4662900,2.1,3.25,T,T,T,Z,Z,Z,Z,Z,T,Z,Z,T,Z,Z,Z,Z,Z
362,17-Aug,638000,4662900,2.6,3.2,T,T,T,T,T,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z
363,17-Aug,638100,4662800,2.2,2,S,S,T,Z,Z,S,Z,T,Z,S,Z,T,Z,Z,Z,Z,Z
364,17-Aug,638300,4662800,2.7,2.25,T,T,T,Z,T,T,Z,T,Z,T,Z,T,Z,Z,Z,Z,Z
365,17-Aug,639100,4662700,3.1,1.75,S,S,S,Z,S,S,Z,S,Z,T,T,Z,Z,Z,Z,T,Z
366,17-Aug,639200,4662700,2.6,1.7,S,S,T,Z,Z,Z,Z,T,S,Z,Z,Z,Z,Z,Z,Z,Z
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,2.9,,,,,,,,,,,,,,,,,,
