 Map ID #, Date Sampled in 2023, NAD27 X cord EAST 17T, NAD27 Y cord NORTH, Depth (ft) 2023, Secchi Depth  (m) 2021,  All species abundance, Native Sp. Abundance, Non-Native sp. Abundance, Ceratophyllum Abundance, Elodea sp. Abundance, Heteranthera dubia Abundance, Lemna trisulca Abundance, Myriophyllum spicatum Abundance, Najas flexilis Abundance, Najas guadalupensis Abundance, Najas minor Abundance, Potamogeton crispus Abundance, Potamogeton praelongus Abundance, Potamogeton pusillus Abundance, Potamogeton zosteriformis Abundance, Vallisneria americana Abundance, N. obtusa Abundance
44,19-Aug,639600,4662900,2.2,2.4,T,Z,T,Z,Z,Z,Z,T,Z,Z,Z,T,Z,Z,Z,Z,Z
45,19-Aug,639600,4663000,2.5,2.75,T,T,T,Z,T,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z
46,19-Aug,640200,4663000,2.7,2.8,T,Z,T,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,Z
47,19-Aug,640300,4663000,3.7,2.85,T,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z
48,19-Aug,640400,4663000,4.1,2.95,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
49,19-Aug,640600,4663000,4.1,2.75,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
50,19-Aug,640800,4663000,5.4,2.5,T,T,T,Z,Z,T,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z
51,19-Aug,641000,4663000,3.5,2.1,T,T,Z,T,T,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z
52,19-Aug,641300,4663000,2,1.8,S,T,S,T,Z,T,Z,T,Z,T,S,T,Z,Z,Z,Z,Z
53,19-Aug,641400,4663000,2.7,1.25,S,S,S,T,Z,S,Z,T,T,T,S,Z,Z,Z,Z,Z,Z
54,19-Aug,641400,4663100,3.5,1.8,S,T,S,Z,Z,T,Z,T,T,Z,S,Z,Z,Z,Z,Z,Z
55,19-Aug,641300,4663100,3.5,1.9,S,S,S,S,Z,T,Z,T,Z,Z,S,Z,Z,Z,Z,Z,Z
56,19-Aug,641100,4663100,2.6,2.3,T,T,Z,Z,Z,T,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z
57,19-Aug,640800,4663100,3.4,2.5,T,T,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
58,19-Aug,640600,4663100,3.4,2.75,T,T,Z,Z,T,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z
59,19-Aug,640400,4663100,3.5,2.95,T,T,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
60,19-Aug,640300,4663100,2.9,3,T,T,T,Z,T,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z
61,19-Aug,639700,4663100,3.2,3,T,T,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z
